Transaction Number,Transaction Date,Transaction Type,Transaction Description,Debit Amount,Credit Amount,Balance,Category,Location City,Location Country
1458,15/06/2021,DEB,SOLO GRANO,16.01,,1173.07,Dine Out,Nottingham,UK
1459,15/06/2021,DEB,AMZNMktplace,4.79,,1189.08,Amazon,Nottingham,UK
1460,15/06/2021,DEB,AMZNMktplace,3.51,,1193.87,Amazon,Nottingham,UK
1461,15/06/2021,FPO,STEWART SCHOFIELD,150,,1197.38,Services,Nottingham,UK
1462,15/06/2021,BP,SAVE THE CHANGE,0.73,,1347.38,Savings,Nottingham,UK
1463,14/06/2021,DEB,LIDL GB  NOTTINGHA,14.79,,1348.11,Groceries,Nottingham,UK
1464,14/06/2021,DEB,HPI INSTANT INK UK,4.49,,1362.9,Other Shopping,,
1465,14/06/2021,DEB,ZARA NOTTINGHAM,19.99,,1367.39,Clothes,Nottingham,UK
1466,14/06/2021,BP,SAVE THE CHANGE,2.04,,1387.38,Savings,Nottingham,UK
1467,14/06/2021,DEB,ORIENTAL MART HYDR,11.17,,1389.42,Groceries,Nottingham,UK
1468,14/06/2021,DEB,DOUGHNOTTS BAKERY,6.5,,1400.59,Dine Out,Nottingham,UK
1469,14/06/2021,FPO,TRADING212UK,200,,1407.09,Investment,Nottingham,UK
1470,14/06/2021,DEB,ECOTRICITY,139.51,,1607.09,Home Improvement,Nottingham,UK
1471,14/06/2021,DEB,SAINSBURYS S/MKTS,37.78,,1746.6,Groceries,,
1472,11/06/2021,FPI,SHEILA SMITH,,400,1784.38,Supplementary Income,Nottingham,UK
1473,11/06/2021,BP,SAVE THE CHANGE,1.13,,1384.38,Savings,Nottingham,UK
1474,10/06/2021,FPO,ANTIGONI ABRAHMS,6,,1385.51,Entertainment,London,UK
1475,10/06/2021,DEB,AMZNMktplace,77.7,,1391.51,Amazon,Nottingham,UK
1476,10/06/2021,DEB,LIDL GB  NOTTINGHA,12.17,,1469.21,Groceries,Nottingham,UK
1477,10/06/2021,BP,SAVE THE CHANGE,1.81,,1481.38,Savings,Nottingham,UK
1478,09/06/2021,DEB,AMZNMktplace,43.93,,1483.19,Amazon,Nottingham,UK
1479,09/06/2021,DEB,STARBUCKS CAFE,7.18,,1527.12,Dine Out,,
1480,09/06/2021,DEB,SEVERN TRENT WATER,6.34,,1534.3,Bills,Nottingham,UK
1481,09/06/2021,DEB,AMZNMKTPLACE AMAZO,31.74,,1540.64,Amazon,Nottingham,UK
1482,08/06/2021,BP,SAVE THE CHANGE,0.01,,1572.38,Savings,Nottingham,UK
1483,07/06/2021,DEB,PureGym Limited,19.99,,1572.39,Fitness,Nottingham,UK
1484,07/06/2021,BP,SAVE THE CHANGE,0.93,,1592.38,Savings,Nottingham,UK
1485,07/06/2021,DEB,T K MAXX,16.99,,1593.31,Other Shopping,,
1486,07/06/2021,DEB,ORIENTAL MART HYDR,9.8,,1610.3,Groceries,Nottingham,UK
1487,07/06/2021,DEB,DOUGHNOTTS BAKERY,6.5,,1620.1,Dine Out,Nottingham,UK
1488,07/06/2021,DEB,LIDL GB  NOTTINGHA,8.78,,1626.6,Groceries,Nottingham,UK
1489,04/06/2021,DEP,CLUB LLOYDS WAIVED,,3,1635.38,Supplementary Income,Nottingham,UK
1490,04/06/2021,PAY,CLUB LLOYDS FEE,3,,1632.38,Bills,Nottingham,UK
1491,04/06/2021,FPO,ROBERT RECORD,30,,1635.38,Others,Nottingham,UK
1492,04/06/2021,BP,SAVE THE CHANGE,0.16,,1665.38,Savings,Nottingham,UK
1493,03/06/2021,DEB,LIDL GB  NOTTINGHA,14.84,,1665.54,Groceries,Nottingham,UK
1494,03/06/2021,FPO,ALICJA ALEXANDER,30,,1680.38,Services/Home Improvement,Nottingham,UK
1495,02/06/2021,BP,SAVE THE CHANGE,0.5,,1710.38,Savings,Nottingham,UK
1496,01/06/2021,,INTEREST (GROSS),,0.62,1710.88,Interest,Nottingham,UK
1497,01/06/2021,FPO,TAMBA TAM,10,,1710.26,Services,Nottingham,UK
1498,01/06/2021,DEB,Lush UK,20,,1720.26,Other Shopping,,
1499,01/06/2021,DEB,SUMMERS IN TIME DA,6,,1740.26,Others,Nottingham,UK
1500,01/06/2021,DEB,PIZZAMISU,18.5,,1746.26,Dine Out,Nottingham,UK
1501,01/06/2021,FPO,TRADING212UK,500,,1764.76,Investment,Nottingham,UK
1502,01/06/2021,DD,BARCLAYS UK MTGES,981.71,,2264.76,Bills,Nottingham,UK
1503,01/06/2021,DD,NOTTM CITY COUNC,157,,3246.47,Bills,Nottingham,UK
1504,01/06/2021,DD,OCTOPUS ENERGY,90,,3403.47,Bills,Nottingham,UK
1505,01/06/2021,SO,Q WANG,,1000,3493.47,Supplementary Income,Nottingham,UK
1506,01/06/2021,SO,ESAVINGS ACCOUNT,300,,2493.47,Savings,Nottingham,UK
1507,01/06/2021,BP,SAVE THE CHANGE,3.27,,2793.47,Savings,Nottingham,UK
1508,01/06/2021,DEB,LIDL GB  NOTTINGHA,12.24,,2796.74,Groceries,Nottingham,UK
1509,01/06/2021,DEB,AMZNMktplace,8.68,,2808.98,Amazon,Nottingham,UK
1510,01/06/2021,DEB,ORIENTAL MART HYDR,20.19,,2817.66,Groceries,Nottingham,UK
1511,01/06/2021,DEB,WILKO RETAIL LIMIT,9,,2837.85,Other Shopping,,
1512,01/06/2021,DEB,DOUGHNOTTS BAKERY,6.5,,2846.85,Dine Out,Nottingham,UK
1513,01/06/2021,DEB,GREGGS PLC,2,,2853.35,Dine Out,,
1514,01/06/2021,TFR,R LAWRENCE  29MAY21,,900,2855.35,Supplementary Income,Nottingham,UK
1515,01/06/2021,FPO,STEWART SCHOFIELD,850,,1955.35,Services,Nottingham,UK
1516,01/06/2021,DEB,AMZNMktplace,13.99,,2805.35,Amazon,Nottingham,UK
1517,01/06/2021,DEB,AMZNMktplace,11.18,,2819.34,Amazon,Nottingham,UK
1518,28/05/2021,DEB,AMZNMktplace,79.95,,2830.52,Amazon,Nottingham,UK
1519,28/05/2021,DEB,SUMMERS IN TIME DA,6,,2910.47,Others,Nottingham,UK
1520,28/05/2021,DD,TALKTALK LIMITED,21.95,,2916.47,Bills,Nottingham,UK
1521,28/05/2021,BP,SAVE THE CHANGE,0.68,,2938.42,Savings,Nottingham,UK
1522,27/05/2021,DEB,IZ *Nottingham Bik,50,,2939.1,Other Shopping,Nottingham,UK
1523,27/05/2021,DEB,LIDL GB  NOTTINGHA,10.32,,2989.1,Groceries,Nottingham,UK
1524,27/05/2021,FPO,TRADING212UK,1300,,2999.42,Investment,Nottingham,UK
1525,27/05/2021,BP,SAVE THE CHANGE,1.22,,4299.42,Savings,Nottingham,UK
1526,27/05/2021,BGC,UNIV OF NOTTINGHAM,,3756.18,4300.64,Paycheck,Nottingham,UK
1527,26/05/2021,DEB,AMZNMktplace,8.9,,544.46,Amazon,Nottingham,UK
1528,26/05/2021,DEB,AMZNMktplace,8.03,,553.36,Amazon,Nottingham,UK
1529,26/05/2021,DEB,LIDL GB  NOTTINGHA,5.85,,561.39,Groceries,Nottingham,UK
1530,26/05/2021,BP,SAVE THE CHANGE,0.01,,567.24,Savings,Nottingham,UK
1531,25/05/2021,FPO,TAMBA TAM,10,,567.25,Services,Nottingham,UK
1532,25/05/2021,DEB,AMZNMktplace,27.99,,577.25,Amazon,Nottingham,UK
1533,25/05/2021,BP,SAVE THE CHANGE,0.01,,605.24,Savings,Nottingham,UK
1534,24/05/2021,DEB,Audible UK,7.99,,605.25,Entertainment,Nottingham,UK
1535,24/05/2021,FPO,TRADING212UK,400,,613.24,Savings,Nottingham,UK
1536,24/05/2021,FPI,ABAYOMI ADAMS,,400,1013.24,Supplementary Income,Nottingham,UK
1537,24/05/2021,BP,SAVE THE CHANGE,2.94,,613.24,Investment,Nottingham,UK
1538,24/05/2021,DEB,LIDL GB  NOTTINGHA,13.59,,616.18,Groceries,Nottingham,UK
1539,24/05/2021,DEB,DOUGHNOTTS BAKERY,6.5,,629.77,Dine Out,Nottingham,UK
1540,24/05/2021,DEB,ORIENTAL MART HYDR,5.03,,636.27,Groceries,Nottingham,UK
1541,24/05/2021,DEB,WILKO RETAIL LIMIT,2.5,,641.3,Other Shopping,,
1542,21/05/2021,DEB,LIDL GB  NOTTINGHA,8.44,,643.8,Groceries,Nottingham,UK
1543,20/05/2021,FPO,TRADING212UK,100,,652.24,Investment,Nottingham,UK
1544,20/05/2021,FPO,ALICJA ALEXANDER,30,,752.24,Services/Home Improvement,Nottingham,UK
1545,20/05/2021,BP,SAVE THE CHANGE,0.87,,782.24,Savings,Nottingham,UK
1546,19/05/2021,DEB,AMZNMktplace,15.99,,783.11,Amazon,Nottingham,UK
1547,19/05/2021,DEB,AMAZON.CO.UK*MK3GT,10.14,,799.1,Amazon,Nottingham,UK
1548,19/05/2021,BP,SAVE THE CHANGE,0.32,,809.24,Savings,Nottingham,UK
1549,18/05/2021,FPO,TAMBA TAM,10,,809.56,Services,Nottingham,UK
1550,18/05/2021,DEB,LIDL GB  NOTTINGHA,15.68,,819.56,Groceries,Nottingham,UK
1551,18/05/2021,DEB,SUMMERS IN TIME DA,6,,835.24,Others,Nottingham,UK
1552,18/05/2021,CPT,LNK NOTTINGHAM UNI,40,,841.24,Cash,Nottingham,UK
1553,17/05/2021,DD,VIRGIN MEDIA PYMTS,25.5,,881.24,Bills,Nottingham,UK
1554,17/05/2021,DD,O2,16.66,,906.74,Other Shopping,Nottingham,UK
1555,17/05/2021,BP,SAVE THE CHANGE,1.56,,923.4,Savings,Nottingham,UK
1556,17/05/2021,DEB,ORIENTAL MART HYDR,9.77,,924.96,Groceries,Nottingham,UK
1557,17/05/2021,DEB,LIDL GB  NOTTINGHA,5.27,,934.73,Groceries,Nottingham,UK
1558,14/05/2021,DEB,AMZNMktplace,39.99,,940,Amazon,Nottingham,UK
1559,14/05/2021,DEB,LIDL GB  NOTTINGHA,16.93,,979.99,Groceries,Nottingham,UK
1560,14/05/2021,DEB,HPI INSTANT INK UK,3.49,,996.92,Other Shopping,,
1561,14/05/2021,DEB,AMAZON.CO.UK*MK65X,9.99,,1000.41,Amazon,Nottingham,UK
1562,14/05/2021,DEB,SKYPE.COM/GO/BILL,5,,1010.4,Bills,Nottingham,UK
1563,14/05/2021,BP,SAVE THE CHANGE,0.13,,1015.4,Savings,Nottingham,UK
1564,13/05/2021,DEB,AMZNMktplace,2.87,,1015.53,Amazon,Nottingham,UK
1565,13/05/2021,BP,SAVE THE CHANGE,0.66,,1018.4,Savings,Nottingham,UK
1566,12/05/2021,DEB,LIDL GB  NOTTINGHA,18.34,,1019.06,Groceries,Nottingham,UK
1567,12/05/2021,BP,SAVE THE CHANGE,0.01,,1037.4,Savings,Nottingham,UK
1568,11/05/2021,FPO,ROBERT RECORD,105,,1037.41,Others,Nottingham,UK
1569,11/05/2021,DEB,AMZNMktplace,9.99,,1142.41,Amazon,Nottingham,UK
1570,11/05/2021,FPO,PATRICIA A S LAW,300,,1152.4,Other Shopping,,
1571,11/05/2021,BP,SAVE THE CHANGE,0.1,,1452.4,Savings,Nottingham,UK
1572,10/05/2021,DEB,AMZNMktplace,13.99,,1452.5,Amazon,Nottingham,UK
1573,10/05/2021,DEB,SOLO GRANO,3.91,,1466.49,Dine Out,Nottingham,UK
1574,10/05/2021,BP,SAVE THE CHANGE,4.27,,1470.4,Savings,Nottingham,UK
1575,10/05/2021,DEB,ORIENTAL MART HYDR,10.34,,1474.67,Groceries,Nottingham,UK
1576,10/05/2021,DEB,T K MAXX,8.97,,1485.01,Other Shopping,,
1577,10/05/2021,DEB,Amazon.co.uk*MK585,6.49,,1493.98,Amazon,Nottingham,UK
1578,10/05/2021,DEB,PP*DOUGHNOTTS,6,,1500.47,Dine Out,Nottingham,UK
1579,10/05/2021,FPO,ANTIGONI ABRAHMS,5,,1506.47,Entertainment,London,UK
1580,10/05/2021,DEB,SHARIF AND SONS SU,7.29,,1511.47,Groceries,Derby,UK
1581,10/05/2021,DEB,AMZNMktplace,3.03,,1518.76,Amazon,Nottingham,UK
1582,07/05/2021,DEB,LIDL GB  NOTTINGHA,11.12,,1521.79,Groceries,Nottingham,UK
1583,07/05/2021,DEB,AMZNMktplace,2.49,,1532.91,Amazon,Nottingham,UK
1584,07/05/2021,DD,OCTOPUS ENERGY,90,,1535.4,Bills,Nottingham,UK
1585,07/05/2021,BP,SAVE THE CHANGE,1.24,,1625.4,Savings,Nottingham,UK
1586,06/05/2021,FPO,ALICJA ALEXANDER,30,,1626.64,Services/Home Improvement,Nottingham,UK
1587,06/05/2021,DEB,CLASSIC DOORS AND,78,,1656.64,Home Improvement,Nottingham,UK
1588,06/05/2021,DEB,Amazon.co.uk*MK78E,17.58,,1734.64,Amazon,Nottingham,UK
1589,06/05/2021,DEB,LIDL GB  NOTTINGHA,11.18,,1752.22,Groceries,Nottingham,UK
1590,06/05/2021,BP,SAVE THE CHANGE,0.97,,1763.4,Savings,Nottingham,UK
1591,05/05/2021,DEP,CLUB LLOYDS WAIVED,,3,1764.37,Amazon,Nottingham,UK
1592,05/05/2021,PAY,CLUB LLOYDS FEE,3,,1761.37,Bills,Nottingham,UK
1593,05/05/2021,DEB,AMZNMktplace,29.95,,1764.37,Supplementary Income,Nottingham,UK
1594,05/05/2021,DEB,AMZNMktplace,15.99,,1794.32,Amazon,Nottingham,UK
1595,05/05/2021,DEB,AMAZON.CO.UK*MK9J0,15.09,,1810.31,Amazon,Nottingham,UK
1596,05/05/2021,DEB,Amazon.co.uk*MK602,6,,1825.4,Amazon,Nottingham,UK
1597,05/05/2021,BP,SAVE THE CHANGE,0.2,,1831.4,Savings,Nottingham,UK
1598,04/05/2021,,INTEREST (GROSS),,0.74,1831.6,Interest,Nottingham,UK
1599,04/05/2021,DEB,CAFFE NERO 650 NOT,2.8,,1830.86,Dine Out,Nottingham,UK
1600,04/05/2021,FPO,TRADING212UK,600,,1833.66,Investment,Nottingham,UK
1601,04/05/2021,TFR,R LAWRENCE,,200,2433.66,Supplementary Income,Nottingham,UK
1602,04/05/2021,DD,BARCLAYS UK MTGES,981.71,,2233.66,Bills,Nottingham,UK
1603,04/05/2021,DD,NOTTM CITY COUNC,155.06,,3215.37,Bills,Nottingham,UK
1604,04/05/2021,SO,Q WANG,,1000,3370.43,Supplementary Income,Nottingham,UK
1605,04/05/2021,SO,ESAVINGS ACCOUNT,300,,2370.43,Savings,Nottingham,UK
1606,04/05/2021,BP,SAVE THE CHANGE,2.23,,2670.43,Savings,Nottingham,UK
1607,04/05/2021,DEB,PP*DOUGHNOTTS,6.5,,2672.66,Dine Out,Nottingham,UK
1608,04/05/2021,FPO,ROBERT RECORD,45,,2679.16,Others,Nottingham,UK
1609,04/05/2021,DEB,ORIENTAL MART HYDR,14.25,,2724.16,Groceries,Nottingham,UK
1610,04/05/2021,DEB,WILKO RETAIL LIMIT,6,,2738.41,Other Shopping,,
1611,04/05/2021,DEB,SOLO GRANO,3.47,,2744.41,Dine Out,Nottingham,UK
1612,04/05/2021,DEB,LIDL GB  NOTTINGHA,12.88,,2747.88,Groceries,Nottingham,UK
1613,04/05/2021,DEB,AMZNMKTPLACE AMAZO,5.67,,2760.76,Amazon,Nottingham,UK
1614,04/05/2021,FPO,ANTIGONI ABRAHMS,5,,2766.43,Entertainment,London,UK
1615,30/04/2021,DEB,AMAZON.CO.UK*MK74Z,3,,2771.43,Amazon,Nottingham,UK
1616,30/04/2021,BP,SAVE THE CHANGE,1.51,,2774.43,Savings,Nottingham,UK
1617,29/04/2021,DEB,ECOTRICITY,130.61,,2775.94,Home Improvement,Nottingham,UK
1618,29/04/2021,DEB,LIDL GB  NOTTINGHA,12.19,,2906.55,Groceries,Nottingham,UK
1619,29/04/2021,DEB,AMZNMKTPLACE AMAZO,2.69,,2918.74,Amazon,Nottingham,UK
1620,29/04/2021,FPO,TRADING212UK,1000,,2921.43,Investment,Nottingham,UK
1621,29/04/2021,FPO,TRADING212UK,293,,3921.43,Investment,Nottingham,UK
1622,29/04/2021,BGC,UNIV OF NOTTINGHAM,,3756.59,4214.43,Paycheck,Nottingham,UK
1623,28/04/2021,FPO,TRADING212UK,100,,457.84,Investment,Nottingham,UK
1624,28/04/2021,FPO,MR IAN ELLIS,110,,557.84,Services,Nottingham,UK
1625,28/04/2021,BP,SAVE THE CHANGE,0.35,,667.84,Savings,Nottingham,UK
1626,27/04/2021,DEB,SHARIF AND SONS SU,19.65,,668.19,Groceries,Derby,UK
1627,27/04/2021,DD,TALKTALK LIMITED,21.95,,687.84,Bills,Nottingham,UK
1628,26/04/2021,FPO,TRADING212UK,200,,709.79,Investment,Nottingham,UK
1629,26/04/2021,BP,SAVE THE CHANGE,3.67,,909.79,Savings,Nottingham,UK
1630,26/04/2021,DEB,EAST MIDS RAILWAY,19.4,,913.46,Travel,Nottingham,UK
1631,26/04/2021,DEB,LIDL GB  NOTTINGHA,9.3,,932.86,Groceries,Nottingham,UK
1632,26/04/2021,DEB,AMZNMktplace,14.99,,942.16,Amazon,Nottingham,UK
1633,26/04/2021,DEB,Amazon.co.uk*M40A6,10.81,,957.15,Amazon,Nottingham,UK
1634,26/04/2021,DEB,Audible UK,7.99,,967.96,Entertainment,Nottingham,UK
1635,26/04/2021,DEB,AMZNMktplace,3.22,,975.95,Amazon,Nottingham,UK
1636,26/04/2021,DEB,AMZNMKTPLACE AMAZO,4.48,,979.17,Amazon,Nottingham,UK
1637,26/04/2021,FPI,ABAYOMI ADAMS,,400,983.65,Supplementary Income,Nottingham,UK
1638,23/04/2021,DEB,AMZNMktplace,100.8,,583.65,Amazon,Nottingham,UK
1639,23/04/2021,DEB,SAINSBURYS S/MKT,38.79,,684.45,Groceries,Nottingham,
1640,23/04/2021,DEB,AMAZON.CO.UK*M44AQ,26.55,,723.24,Amazon,Nottingham,UK
1641,23/04/2021,BGC,GOOGLE IRELAND,,61.27,749.79,Supplementary Income,Nottingham,UK
1642,22/04/2021,FPO,TRADING212UK,200,,688.52,Investment,Nottingham,UK
1643,22/04/2021,FPI,MARK NEAL WINSTEIN,,395.51,888.52,Supplementary Income,Nottingham,UK
1644,22/04/2021,BP,SAVE THE CHANGE,0.73,,493.01,Savings,Nottingham,UK
1645,21/04/2021,DEB,LIDL GB  NOTTINGHA,15.27,,493.74,Groceries,Nottingham,UK
1646,20/04/2021,FPO,ALICJA ALEXANDER,25,,509.01,Services/Home Improvement,Nottingham,UK
1647,20/04/2021,BP,SAVE THE CHANGE,0.51,,534.01,Savings,Nottingham,UK
1648,19/04/2021,DEB,AMZNMktplace,6.99,,534.52,Amazon,Nottingham,UK
1649,19/04/2021,DEB,PP*DOUGHNOTTS,6.5,,541.51,Dine Out,Nottingham,UK
1650,19/04/2021,DD,VIRGIN MEDIA PYMTS,25.5,,548.01,Bills,Nottingham,UK
1651,19/04/2021,BP,SAVE THE CHANGE,1.06,,573.51,Savings,Nottingham,UK
1652,19/04/2021,DEB,T K MAXX,41.96,,574.57,Other Shopping,Nottingham,
1653,19/04/2021,DEB,ORIENTAL MART HYDR,7.48,,616.53,Groceries,Nottingham,UK
1654,19/04/2021,DEB,WILKO RETAIL LIMIT,4.5,,624.01,Other Shopping,Nottingham,
1655,19/04/2021,FPO,ANTIGONI ABRAHMS,5,,628.51,Entertainment,London,UK
1656,16/04/2021,DD,O2,16.66,,633.51,Other Shopping,Nottingham,UK
1657,16/04/2021,BP,SAVE THE CHANGE,0.91,,650.17,Savings,Nottingham,UK
1658,15/04/2021,DEB,AMAZON.CO.UK*M46EG,69.09,,651.08,Amazon,Nottingham,UK
1659,15/04/2021,BP,SAVE THE CHANGE,0.7,,720.17,Savings,Nottingham,UK
1660,14/04/2021,DEB,LIDL GB  NOTTINGHA,16.3,,720.87,Groceries,Nottingham,UK
1661,14/04/2021,FPO,MR IAN ELLIS,255,,737.17,Services,Nottingham,UK
1662,14/04/2021,BP,SAVE THE CHANGE,0.51,,992.17,Savings,Nottingham,UK
1663,13/04/2021,DEB,HPI INSTANT INK UK,3.49,,992.68,Other Shopping,,
1664,13/04/2021,BP,SAVE THE CHANGE,1.6,,996.17,Savings,Nottingham,UK
1665,12/04/2021,DEB,SOLO GRANO,3.05,,997.77,Dine Out,Nottingham,UK
1666,12/04/2021,DEB,TESCO STORES 5954,2,,1000.82,Groceries,,
1667,12/04/2021,DEB,CAFFE NERO 650 NOT,3.35,,1002.82,Dine Out,Nottingham,UK
1668,12/04/2021,BP,SAVE THE CHANGE,1.35,,1006.17,Savings,Nottingham,UK
1669,12/04/2021,DEB,ORIENTAL MART HYDR,13.91,,1007.52,Groceries,Nottingham,UK
1670,12/04/2021,DEB,TESCO STORE 2960,10.09,,1021.43,Groceries,,
1671,12/04/2021,DEB,WWW.DOUGHN* DOUGHN,6.8,,1031.52,Dine Out,Nottingham,UK
1672,12/04/2021,FPO,ANTIGONI ABRAHMS,5,,1038.32,Entertainment,London,UK
1673,12/04/2021,DEB,ECOTRICITY,500,,1043.32,Home Improvement,Nottingham,UK
1674,12/04/2021,DEB,AMZNMktplace,43.99,,1543.32,Amazon,Nottingham,UK
1675,09/04/2021,DEB,LIDL GB  NOTTINGHA,10.86,,1587.31,Groceries,Nottingham,UK
1676,09/04/2021,BP,SAVE THE CHANGE,0.01,,1598.17,Savings,Nottingham,UK
1677,08/04/2021,DEB,AMZNMktplace,6,,1598.18,Amazon,Nottingham,UK
1678,08/04/2021,DEB,AMZNMKTPLACE AMAZO,7.99,,1604.18,Amazon,Nottingham,UK
1679,08/04/2021,BP,SAVE THE CHANGE,0.2,,1612.17,Savings,Nottingham,UK
1680,07/04/2021,FPO,ALICJA ALEXANDER,25,,1612.37,Services/Home Improvement,Nottingham,UK
1681,07/04/2021,DEB,LIDL GB  NOTTINGHA,18.8,,1637.37,Groceries,Nottingham,UK
1682,07/04/2021,BP,SAVE THE CHANGE,0.08,,1656.17,Savings,Nottingham,UK
1683,06/04/2021,DEP,CLUB LLOYDS WAIVED,,3,1656.25,Amazon,Nottingham,UK
1684,06/04/2021,PAY,CLUB LLOYDS FEE,3,,1653.25,Bills,Nottingham,UK
1685,06/04/2021,DEB,AMZNMktplace,107.95,,1656.25,Supplementary Income,Nottingham,UK
1686,06/04/2021,DEB,AMZNMktplace,24.98,,1764.2,Amazon,Nottingham,UK
1687,06/04/2021,DEB,AMZNMktplace,19.99,,1789.18,Amazon,Nottingham,UK
1688,06/04/2021,FPO,TRADING212UK,500,,1809.17,Investment,Nottingham,UK
1689,06/04/2021,BP,SAVE THE CHANGE,3.44,,2309.17,Savings,Nottingham,UK
1690,06/04/2021,DEB,SOLO GRANO,5.7,,2312.61,Dine Out,Nottingham,UK
1691,06/04/2021,DEB,SOLO GRANO,3.36,,2318.31,Dine Out,Nottingham,UK
1692,06/04/2021,FPI,MIAH MA,,98.5,2321.67,Supplementary Income,Nottingham,UK
1693,06/04/2021,DEB,ORIENTAL MART HYDR,12.19,,2223.17,Groceries,Nottingham,UK
1694,06/04/2021,DEB,WWW.DOUGHN* DOUGHN,6.8,,2235.36,Dine Out,Nottingham,UK
1695,06/04/2021,DEB,WILKO RETAIL LIMIT,3.25,,2242.16,Other Shopping,,
1696,06/04/2021,FPO,ANTIGONI ABRAHMS,5,,2245.41,Entertainment,London,UK
1697,06/04/2021,DEB,AMZNMktplace,16.99,,2250.41,Amazon,Nottingham,UK
1698,06/04/2021,DEB,LIDL GB  NOTTINGHA,16.74,,2267.4,Groceries,Nottingham,UK
1699,06/04/2021,DEB,AMZNMktplace,8.59,,2284.14,Amazon,Nottingham,UK
1700,06/04/2021,DEB,AMAZON.CO.UK*MU384,6,,2292.73,Amazon,Nottingham,UK
1701,06/04/2021,FPO,MR IAN ELLIS,140,,2298.73,Services,Nottingham,UK
1702,06/04/2021,DEB,AMZNMktplace,17.99,,2438.73,Amazon,Nottingham,UK
1703,01/04/2021,,INTEREST (GROSS),,0.48,2456.72,Interest,Nottingham,UK
1704,01/04/2021,DEB,AMZNMktplace,58.96,,2456.24,Amazon,Nottingham,UK
1705,01/04/2021,DEB,AMZNMktplace,8.99,,2515.2,Amazon,Nottingham,UK
1706,01/04/2021,DD,BARCLAYS UK MTGES,981.71,,2524.19,Bills,Nottingham,UK
1707,01/04/2021,SO,Q WANG,,1000,3505.9,Supplementary Income,Nottingham,UK
1708,01/04/2021,SO,ESAVINGS ACCOUNT,300,,2505.9,Savings,Nottingham,UK
1709,01/04/2021,BP,SAVE THE CHANGE,0.19,,2805.9,Savings,Nottingham,UK
1710,31/03/2021,DEB,AMZNMktplace,16.99,,2806.09,Amazon,Nottingham,UK
1711,31/03/2021,DEB,LIDL GB  NOTTINGHA,6.82,,2823.08,Groceries,Nottingham,UK
1712,31/03/2021,DEB,AMZ*hzmizimi,,16.99,2829.9,Supplementary Income,Nottingham,UK
1713,31/03/2021,BP,SAVE THE CHANGE,0.23,,2812.91,Savings,Nottingham,UK
1714,30/03/2021,DEB,SHARIF AND SONS SU,13.77,,2813.14,Groceries,Derby,UK
1715,30/03/2021,FPO,TRADING212UK,1000,,2826.91,Investment,Nottingham,UK
1716,30/03/2021,BP,SAVE THE CHANGE,0.95,,3826.91,Savings,Nottingham,UK
1717,30/03/2021,BGC,UNIV OF NOTTINGHAM,,3665.25,3827.86,Paycheck,Nottingham,UK
1718,29/03/2021,DEB,SOLO GRANO,8.05,,162.61,Dine Out,Nottingham,UK
1719,29/03/2021,BP,SAVE THE CHANGE,1.09,,170.66,Savings,Nottingham,UK
1720,29/03/2021,DEB,ORIENTAL MART HYDR,12.89,,171.75,Groceries,Nottingham,UK
1721,29/03/2021,DEB,WAITROSE 833,10.23,,184.64,,Nottingham,UK
1722,29/03/2021,DEB,WWW.DOUGHN* DOUGHN,6.8,,194.87,Dine Out,Nottingham,UK
1723,29/03/2021,FPO,ANTIGONI ABRAHMS,5,,201.67,Entertainment,London,UK
1724,29/03/2021,DEB,AMZNMktplace,16.99,,206.67,Amazon,Nottingham,UK
1725,26/03/2021,DD,TALKTALK LIMITED,19.95,,223.66,Bills,Nottingham,UK
1726,26/03/2021,BP,SAVE THE CHANGE,0.6,,243.61,Savings,Nottingham,UK
1727,25/03/2021,DEB,AMZNMktplace,16.99,,244.21,Amazon,Nottingham,UK
1728,25/03/2021,DEB,LIDL GB  NOTTINGHA,4.41,,261.2,Groceries,Nottingham,UK
1729,25/03/2021,FPO,TRADING212UK,200,,265.61,Investment,Nottingham,UK
1730,25/03/2021,FPI,YEWANDE MARIAN ADE,,400,465.61,Supplementary Income,Nottingham,UK
1731,25/03/2021,BP,SAVE THE CHANGE,0.02,,65.61,Savings,Nottingham,UK
1732,24/03/2021,DEB,IKEA LTD SHOP ONLI,320,,65.63,Other Shopping,,
1733,24/03/2021,DEB,AMZNMKTPLACE AMAZO,74.99,,385.63,Amazon,Nottingham,UK
1734,24/03/2021,DEB,Audible UK,7.99,,460.62,Entertainment,Nottingham,UK
1735,24/03/2021,TFR,R LAWRENCE,,50,468.61,Supplementary Income,Nottingham,UK
1736,23/03/2021,DEB,LIDL GB  NOTTINGHA,11.1,,418.61,Groceries,Nottingham,UK
1737,23/03/2021,FPO,ALICJA ALEXANDER,25,,429.71,Services/Home Improvement,Nottingham,UK
1738,23/03/2021,BP,SAVE THE CHANGE,0.71,,454.71,Savings,Nottingham,UK
1739,22/03/2021,DEB,ORIENTAL MART HYDR,22.49,,455.42,Groceries,Nottingham,UK
1740,22/03/2021,DEB,WWW.DOUGHN* DOUGHN,6.8,,477.91,Dine Out,Nottingham,UK
1741,22/03/2021,DEB,UBER   *TRIP,2,,484.71,Travel,Nottingham,UK
1742,22/03/2021,BP,SAVE THE CHANGE,1.07,,486.71,Savings,Nottingham,UK
1743,22/03/2021,DEB,UBER *TRIP HELP.UB,13.66,,487.78,Travel,Nottingham,UK
